               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                   0,            0.075185,            0.018076,            0.076225,           0.0027289,            0.016297,           0.0021658,          0.00093613,             0.07301,            0.028133,            0.081302,            0.070652,           0.0032609,           0.0032609,                   0,                   0,          0.00015075,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077073,                   0,                   0,                   0,           0.0017366,                   0,               0.011,                   0,                   0,                   0,                   0,                   0,                   0,          0.00049426,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021413,                   0,                   0,                   0,           0.0050956,                   0,            0.020644,                   0,                   0,                   0,                   0
                   1,            0.050998,            0.014468,              0.0709,            0.010171,             0.35524,            0.017351,           0.0072822,            0.069383,            0.026196,            0.083269,             0.04063,           0.0065724,           0.0065724,            0.025511,          0.00081921,           0.0008109,           0.0008221,           0.0013242,                   0,           0.0048188,          0.00048792,           0.0016947,           0.0025597,           0.0096182,            0.045607,          0.00095296,           0.0077481,          0.00060939,            0.014058,            0.011104,            0.028229,           0.0016042,          0.00049319,           0.0010627,          0.00027301,            0.064792,           0.0026587,           0.0018923,           0.0017202,           0.0028139,                   0,            0.012997,           0.0014415,           0.0057971,            0.010767,            0.016482,            0.071461,           0.0023273,            0.018676,           0.0016621,            0.042884,            0.027526,            0.087344,           0.0032628,           0.0012666,           0.0026981,           0.0012459
                   2,            0.047582,            0.011062,            0.067372,             0.05466,             0.10272,            0.014612,           0.0070686,            0.070831,            0.026277,             0.08443,            0.010587,            0.009862,            0.009862,            0.014533,            0.001643,           0.0045831,           0.0019538,           0.0011037,          8.5676e-05,           0.0058683,              0.0013,           0.0016514,           0.0012843,           0.0013113,           0.0093719,            0.001734,            0.029922,           0.0020592,            0.036996,            0.016976,            0.021214,           8.747e-05,          0.00053173,          0.00070118,          0.00059923,            0.031766,           0.0045508,            0.010369,           0.0050567,           0.0023134,          0.00039211,            0.018099,            0.002731,           0.0028028,           0.0059597,           0.0019648,            0.017645,           0.0039805,            0.064291,           0.0047245,            0.065298,             0.03912,            0.035555,          0.00021025,          0.00073174,           0.0023763,            0.001518
                   3,            0.045122,           0.0095654,            0.060424,             0.41914,            0.031876,            0.011954,           0.0039472,            0.086197,            0.025231,            0.087736,            0.009901,            0.009901,            0.009901,           0.0071095,          0.00020963,           0.0031287,          0.00059674,                   0,          6.9693e-05,            0.017172,          0.00049276,           0.0012205,          0.00010566,          0.00044928,           0.0023183,           0.0027139,            0.012325,           0.0080538,            0.014603,           0.0038243,            0.012145,                   0,           0.0002696,          2.9866e-05,                   0,            0.020305,          0.00068087,            0.012811,           0.0020367,                   0,          0.00017106,            0.048082,           0.0010769,           0.0027936,          0.00034956,          0.00072272,           0.0052742,           0.0061234,             0.03579,            0.038564,            0.036975,            0.012841,            0.037583,                   0,          0.00061337,          0.00019454,                   0
                   4,             0.04299,           0.0088904,            0.051629,             0.29016,              0.0616,            0.027215,             0.01195,            0.074276,            0.026806,            0.090265,            0.009901,            0.009901,            0.009901,            0.018434,           0.0028403,            0.019056,           0.0012423,          0.00018429,          2.6056e-05,            0.012712,            0.001326,            0.004772,           0.0057631,            0.002193,           0.0094999,            0.001342,           0.0053173,           0.0046247,            0.026014,            0.014364,             0.13265,          0.00017532,          0.00011907,          0.00022858,          1.7675e-05,            0.045654,           0.0066345,            0.034216,           0.0025442,          0.00026327,          0.00013028,            0.037414,            0.003134,            0.014033,            0.017629,           0.0066776,            0.027841,             0.00543,            0.018564,           0.0097125,            0.052248,            0.037292,              0.2778,          0.00035297,          0.00031953,          0.00066787,          0.00017675
                   5,            0.040816,           0.0084043,             0.04648,             0.45104,            0.071107,            0.030854,            0.013908,            0.070694,            0.027491,            0.091745,            0.009868,            0.009868,            0.009868,            0.042579,          0.00075963,           0.0055605,          0.00050415,           0.0002125,          0.00013158,            0.034929,           0.0010524,           0.0027824,           0.0063508,           0.0066897,            0.051787,           0.0068173,            0.017157,            0.001017,            0.036801,            0.011908,            0.075963,           4.518e-05,          0.00087768,           0.0013173,          0.00073051,            0.099741,            0.003198,            0.012205,            0.001847,          0.00047199,          0.00047333,             0.06743,            0.002609,           0.0069442,            0.018916,            0.020208,             0.10097,            0.012745,            0.038362,           0.0025976,            0.074396,            0.033739,              0.1673,          0.00019076,            0.002649,            0.010061,           0.0017351
                   6,            0.040111,           0.0081976,            0.042684,             0.25502,             0.04288,            0.026571,            0.010796,            0.075669,            0.028499,            0.095052,            0.009835,            0.009835,            0.009835,            0.033517,          0.00087162,            0.004367,          0.00011784,                   0,          0.00010554,            0.020572,          0.00037387,           0.0038636,           0.0027465,          0.00027293,            0.010254,           0.0033726,            0.050999,          0.00093773,            0.042278,           0.0074905,            0.054208,                   0,          0.00012471,          0.00076864,          0.00026061,            0.089519,           0.0026641,             0.01297,          0.00047344,                   0,          0.00031137,            0.058711,           0.0012808,            0.013124,            0.012079,          0.00067948,             0.03201,            0.014603,             0.11641,              0.0027,            0.097372,            0.019062,             0.10518,                   0,          0.00083192,           0.0035781,          0.00099601
                   7,             0.03952,           0.0079034,            0.039908,             0.25894,            0.042419,            0.026127,            0.011427,            0.071651,            0.031734,            0.090704,            0.009802,            0.009802,            0.009802,            0.028304,           0.0036429,            0.010627,                   0,                   0,                   0,             0.01461,          0.00063788,           0.0020349,            0.010565,           0.0024579,            0.044271,           0.0069798,            0.021708,           0.0046228,            0.035873,            0.011248,            0.052201,           0.0004466,          0.00060382,          0.00039312,          0.00016793,            0.072234,             0.01427,            0.018408,                   0,                   0,                   0,            0.028393,           0.0023114,           0.0044281,            0.047465,           0.0041069,            0.097723,            0.013566,            0.052751,           0.0094524,             0.06903,            0.032676,             0.10423,           0.0010894,            0.001164,           0.0010421,          0.00046318
                   8,            0.038868,           0.0076475,            0.036858,           0.0095124,             0.22333,            0.015423,           0.0060442,            0.079389,            0.029241,            0.092545,            0.009769,            0.009769,            0.009769,             0.01555,          0.00010863,            0.013703,          9.0094e-05,          0.00019021,                   0,            0.016374,          0.00078176,           0.0050057,           0.0025205,                   0,            0.026412,            0.007179,           0.0037947,           0.0022595,            0.013509,           0.0038254,            0.020532,          0.00022328,          0.00071246,          0.00012225,          7.8775e-05,            0.038061,          0.00052653,            0.019285,          0.00030031,           0.0012656,                   0,            0.044679,           0.0019223,            0.023242,           0.0089681,                   0,            0.046281,            0.014706,            0.013644,           0.0051945,            0.049464,             0.01449,            0.054806,          0.00056503,           0.0011642,           0.0004964,          0.00023372
                   9,             0.03787,           0.0074681,            0.033657,             0.26245,            0.046823,            0.026411,           0.0095569,            0.076961,            0.028699,            0.089608,            0.009736,            0.009736,            0.009736,            0.016534,           0.0026777,           0.0083061,           0.0010727,          4.3353e-05,                   0,            0.022364,           0.0006776,           0.0016201,           0.0089849,             0.01781,            0.009835,          0.00065584,           0.0054284,           0.0011868,             0.02737,            0.018467,            0.065682,          7.0216e-05,          0.00033866,          0.00033389,           0.0007922,            0.038368,           0.0092162,            0.019339,           0.0024466,          0.00043353,                   0,            0.049068,           0.0030042,           0.0050747,            0.027699,            0.098143,            0.023441,            0.001493,            0.016139,           0.0032427,            0.093934,            0.048404,             0.13606,          0.00054648,          0.00082684,           0.0015791,           0.0025753
