               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                   0,            0.083748,            0.021479,            0.073747,            0.048872,            0.063653,             0.02722,           0.0081624,            0.066105,            0.030706,            0.068326,            0.070517,           0.0032759,           0.0032759,            0.013591,             0.15147,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084132,                   0,                   0,                   0,                   0,           0.0060981,                   0,                   0,                   0,                   0,                   0,            0.042074,              0.5049,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.029813,                   0,                   0,                   0,                   0,            0.022061,                   0,                   0,                   0,                   0,                   0
                   1,            0.056817,            0.020899,            0.063794,           0.0047921,              0.4538,            0.023321,           0.0093652,            0.067711,            0.024827,            0.065222,            0.040495,           0.0065874,           0.0065874,            0.087698,           0.0009603,          0.00074599,          0.00031158,          0.00011902,                   0,           0.0011757,          0.00022127,           0.0046762,           0.0061871,            0.003891,            0.004587,           0.0011511,            0.035425,           0.0014627,            0.008886,           0.0050148,            0.029065,            0.008927,           0.0020742,           0.0033105,          0.00014387,             0.18512,           0.0025759,           0.0021644,          0.00098281,          0.00060182,                   0,           0.0037735,          0.00096646,            0.012916,             0.01669,           0.0075915,            0.020116,           0.0037886,             0.11696,           0.0031936,            0.026072,            0.018333,            0.059753,            0.015779,           0.0061633,           0.0091474,          0.00036418
                   2,            0.053577,            0.017692,            0.061805,             0.77059,            0.034645,            0.027239,            0.010185,            0.066613,            0.024282,            0.062826,            0.010452,           0.0098769,           0.0098769,            0.061575,          0.00077724,           0.0010784,          0.00045492,          0.00052016,                   0,           0.0051393,          0.00044242,           0.0067864,           0.0026121,          0.00046385,            0.011241,           0.0016515,           0.0092186,           0.0011301,            0.088141,            0.017956,           0.0086432,           0.0040761,           0.0018147,          0.00025507,          8.7326e-05,             0.17119,           0.0025463,           0.0029745,           0.0011449,          0.00086449,                   0,            0.015172,           0.0013653,            0.014968,           0.0083459,           0.0012353,             0.03016,           0.0044266,            0.032276,           0.0025897,             0.22188,            0.053239,            0.019537,            0.010013,           0.0037004,           0.0012812,          0.00036201
                   3,            0.055131,            0.017049,            0.059906,             0.66755,            0.045971,             0.03159,            0.011629,            0.071557,             0.02573,            0.063094,            0.009901,            0.009901,            0.009901,            0.036917,          0.00088469,          0.00060799,          0.00073506,          0.00079625,                   0,           0.0037505,           0.0010107,           0.0030913,           0.0018758,          0.00055238,           0.0058828,            0.074599,           0.0080714,           0.0023687,            0.072324,            0.014532,           0.0051207,            0.022062,          0.00056906,           5.531e-05,          2.1724e-05,             0.10734,           0.0036346,           0.0020364,           0.0024163,           0.0025994,                   0,            0.013891,           0.0046148,            0.012714,            0.006479,           0.0018133,            0.021009,             0.10338,            0.030641,           0.0066431,             0.19214,            0.056206,            0.012602,             0.11291,           0.0016076,          0.00018672,          0.00011829
                   4,            0.054052,            0.017054,            0.057331,              0.7544,             0.06342,            0.036645,            0.013538,            0.066978,            0.023374,             0.05896,            0.009901,            0.009901,            0.009901,            0.071242,          0.00071339,           0.0010392,          0.00045745,           0.0011337,          1.3506e-05,           0.0086299,          0.00070848,            0.002345,            0.007632,           0.0032712,           0.0066301,            0.014401,            0.011285,           0.0013969,             0.11282,            0.012215,            0.037174,           0.0032132,          0.00032503,           0.0011549,            3.22e-05,             0.21082,           0.0021353,           0.0027667,           0.0019853,           0.0033464,           6.753e-05,            0.031952,           0.0024577,           0.0073747,            0.020837,           0.0081213,            0.019027,            0.043277,            0.026913,           0.0024231,              0.2902,            0.044301,            0.071895,           0.0099254,           0.0013764,           0.0048765,          0.00010733
                   5,            0.052083,            0.016531,            0.055619,             0.75863,            0.069626,            0.069035,            0.026429,            0.062846,            0.023041,            0.057173,            0.009868,            0.009868,            0.009868,            0.075971,           0.0011586,           0.0022874,           0.0011008,           0.0017559,          7.2772e-05,            0.012391,            0.001302,            0.007224,            0.036588,            0.005502,            0.017239,            0.014562,            0.021614,            0.001129,              0.1895,            0.031572,             0.10995,            0.046854,           0.0010273,           0.0025833,          5.2873e-05,             0.25419,           0.0037219,           0.0064943,           0.0021676,           0.0064738,          0.00025239,            0.036155,           0.0032617,            0.014865,             0.16134,             0.01518,            0.041988,            0.026027,            0.042671,           0.0024755,             0.40668,             0.10016,             0.19597,             0.18757,           0.0028978,           0.0078393,           0.0004027
                   6,            0.051578,            0.016208,            0.054118,             0.77183,            0.068171,            0.071522,            0.032493,             0.06083,            0.023401,             0.05806,            0.009835,            0.009835,            0.009835,             0.16619,            0.002092,           0.0015593,           0.0017284,           0.0016193,          0.00014232,            0.025819,           0.0019247,           0.0066694,            0.045533,           0.0050635,            0.018566,            0.022194,            0.018721,           0.0025673,             0.24586,            0.025136,              0.1179,           0.0030344,          0.00058775,           0.0015419,          0.00039998,             0.40041,           0.0064137,           0.0044984,            0.003308,           0.0039355,           0.0002675,            0.078018,           0.0045016,             0.01334,             0.19213,            0.010723,             0.04338,             0.03754,            0.039337,           0.0050978,             0.41928,            0.067879,             0.22941,           0.0065485,           0.0015004,           0.0040941,           0.0018944
                   7,            0.049808,            0.015909,            0.052713,             0.73898,            0.098823,            0.082198,            0.040092,            0.057965,            0.021873,            0.055561,            0.009802,            0.009802,            0.009802,             0.18455,           0.0018617,           0.0042118,           0.0021999,           0.0039429,          0.00016464,            0.042257,           0.0042714,            0.013813,            0.051921,           0.0091456,            0.012052,            0.062464,             0.02392,           0.0025299,             0.18186,            0.028537,             0.20906,            0.039742,          0.00097027,          0.00079298,            0.001761,             0.40157,           0.0060338,            0.012798,           0.0041248,           0.0091546,          0.00034004,             0.10479,           0.0088806,            0.023596,             0.13738,            0.012093,            0.031363,             0.11068,            0.053603,           0.0045227,              0.4032,            0.085225,             0.28939,             0.09901,            0.002225,           0.0037109,           0.0046566
                   8,            0.048467,            0.015508,            0.052018,               0.744,            0.073361,            0.070262,            0.032154,            0.059077,            0.023186,            0.057357,            0.009769,            0.009769,            0.009769,             0.20042,           0.0027425,           0.0025602,          0.00081246,           0.0021978,          5.1115e-05,             0.02028,           0.0026947,           0.0040798,            0.039562,           0.0055671,            0.019512,            0.035773,            0.036012,            0.003521,             0.18054,            0.029633,             0.10185,            0.014756,           0.0012584,           0.0027605,           0.0008037,             0.38254,           0.0077911,           0.0068933,           0.0019811,           0.0053402,          0.00020591,            0.051274,           0.0075997,           0.0073367,             0.11829,           0.0082086,            0.051538,            0.063092,            0.066081,           0.0067307,             0.38931,            0.088341,             0.22273,            0.044014,           0.0033414,            0.011082,           0.0020486
                   9,            0.047309,            0.015465,            0.051129,             0.73403,            0.056786,            0.066401,            0.033268,            0.061308,            0.025083,            0.056399,            0.009736,            0.009736,            0.009736,             0.13936,           0.0026715,           0.0014328,           0.0007908,           0.0028178,          0.00013015,            0.023255,           0.0022513,           0.0033159,            0.069687,           0.0038143,            0.019027,            0.026432,            0.034297,           0.0016993,             0.16711,            0.016861,             0.18446,            0.027837,          0.00084088,            0.002492,           0.0013114,             0.27028,            0.011357,           0.0037787,           0.0016196,            0.007701,          0.00047178,             0.04375,           0.0064974,           0.0055131,             0.29235,           0.0092154,            0.053545,            0.043442,             0.07095,           0.0029736,             0.25853,            0.054284,             0.23336,            0.078015,           0.0026647,            0.006736,           0.0037849
