               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                   0,            0.079838,            0.020039,            0.075888,           0.0051159,            0.057271,           0.0048366,           0.0015155,            0.066771,            0.029614,            0.070014,            0.070588,            0.003268,            0.003268,           0.0089162,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037974,                   0,                   0,                   0,            0.001891,           0.0064859,            0.012251,                   0,                   0,                   0,                   0,            0.031971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.013787,                   0,                   0,                   0,           0.0083958,            0.021623,            0.030628,                   0,                   0,                   0,                   0
                   1,            0.055322,            0.017434,            0.070351,           0.0055257,              0.6376,            0.033718,            0.016844,            0.058173,            0.025216,            0.065785,            0.040566,           0.0065795,           0.0065795,            0.084165,            0.002558,           0.0025749,          0.00069011,           0.0010394,          0.00027583,             0.00761,           0.0038869,            0.019148,           0.0051432,           0.0027333,              0.0167,           0.0021932,            0.078958,             0.00161,            0.021674,            0.034302,            0.066906,             0.01363,           0.0013995,           0.0014125,           0.0019632,             0.17089,           0.0076036,            0.007419,           0.0014359,           0.0018359,          0.00089155,            0.018938,           0.0095924,            0.035222,            0.016079,           0.0047881,            0.032806,           0.0043816,             0.10465,            0.003651,            0.046672,            0.092555,             0.14326,            0.026144,           0.0049909,           0.0034765,           0.0045025
                   2,            0.051264,             0.01472,            0.068261,             0.74318,            0.035078,            0.039566,            0.014302,            0.060089,            0.023312,             0.06353,            0.010523,           0.0098691,           0.0098691,            0.093032,           0.0021501,           0.0032042,          0.00019426,           0.0014741,          0.00010929,           0.0084496,           0.0042481,           0.0060546,           0.0052436,           0.0020427,            0.013516,            0.003487,            0.021978,           0.0028961,            0.070284,            0.027273,            0.029637,            0.015145,          0.00056477,           0.0017514,           0.0019161,             0.23844,           0.0063519,           0.0087395,          0.00051098,           0.0030548,          0.00042475,            0.018432,           0.0083834,            0.014703,            0.014896,           0.0039762,            0.030231,           0.0059611,            0.043859,           0.0056507,             0.15504,            0.089401,               0.185,            0.025146,           0.0012259,           0.0059603,           0.0050703
                   3,            0.050285,            0.014038,             0.06554,             0.63102,            0.036808,            0.027329,            0.012672,            0.070037,            0.025806,            0.067849,            0.009901,            0.009901,            0.009901,            0.084884,           0.0019244,          0.00047367,          0.00015839,          0.00018701,          5.8499e-05,            0.013118,           0.0010251,           0.0057968,           0.0069747,           0.0038142,           0.0066071,          0.00076041,            0.031119,          0.00075135,            0.067361,            0.016821,            0.033234,           0.0022462,          0.00043197,          0.00046494,          0.00057518,             0.17502,           0.0067098,           0.0010947,          0.00031238,          0.00050455,          0.00021665,            0.025783,            0.002929,            0.013405,            0.018431,           0.0059874,            0.020922,           0.0015516,            0.065497,           0.0015926,             0.13336,            0.054885,             0.06303,            0.003384,           0.0026437,           0.0020725,           0.0019079
                   4,            0.048764,            0.013521,            0.061857,             0.55516,            0.069881,            0.052481,            0.023483,            0.058683,            0.024467,            0.061913,            0.009901,            0.009901,            0.009901,             0.15247,           0.0027601,            0.002962,          0.00051175,             0.00555,          0.00014659,             0.03683,            0.003563,           0.0038088,           0.0057374,          0.00092613,            0.019397,           0.0021918,           0.0047012,          0.00038497,             0.12546,            0.043526,             0.10053,           0.0020315,          0.00070172,           0.0014352,          0.00099629,             0.32593,            0.010053,           0.0078456,            0.001197,            0.011299,          0.00045425,            0.088956,           0.0090233,           0.0069162,            0.013929,           0.0012187,             0.04551,           0.0041052,            0.009758,          0.00085311,             0.23395,               0.124,             0.24431,           0.0054809,           0.0020362,           0.0045841,           0.0031963
                   5,            0.048208,            0.013319,            0.058954,             0.58678,            0.074104,            0.068595,            0.022891,            0.059546,            0.024078,            0.056581,            0.009868,            0.009868,            0.009868,             0.14305,           0.0023645,             0.00423,          0.00071705,           0.0011965,          0.00087511,            0.068768,           0.0017604,           0.0081745,           0.0060989,           0.0018976,            0.024587,           0.0055514,            0.017294,           0.0016517,            0.050534,            0.035948,            0.097365,            0.027317,          0.00089626,           0.0031329,          0.00017645,             0.32817,            0.011874,            0.010668,           0.0021903,            0.003205,           0.0031728,             0.23029,            0.004051,             0.01537,            0.015978,           0.0048734,            0.059518,            0.011903,            0.045436,           0.0036253,             0.14552,             0.10445,             0.33979,             0.15529,           0.0026424,            0.010551,          0.00052958
                   6,            0.046261,            0.012896,            0.055654,             0.52173,              0.1035,            0.074711,            0.035066,            0.054523,            0.023184,            0.053473,            0.009835,            0.009835,            0.009835,             0.29384,           0.0072366,            0.005391,          0.00062243,           0.0009103,           0.0012033,            0.049283,           0.0094303,           0.0083335,            0.033862,           0.0031814,             0.03744,           0.0061824,             0.04536,           0.0022174,            0.086969,            0.051872,             0.10957,            0.013313,           0.0021122,            0.001468,           0.0016661,             0.51146,            0.021946,            0.014665,           0.0017021,           0.0018224,           0.0033408,             0.15207,            0.015214,            0.014456,             0.08675,           0.0060034,            0.070497,            0.010471,            0.082684,           0.0050851,              0.1692,             0.14307,             0.28906,            0.024109,            0.011022,           0.0053781,           0.0036385
                   7,            0.045523,            0.012627,            0.052622,             0.58944,             0.10598,             0.10893,            0.053785,            0.053606,            0.022717,            0.054858,            0.009802,            0.009802,            0.009802,             0.34883,           0.0015088,            0.019363,           0.0025405,           0.0041182,          0.00091112,             0.13402,           0.0044159,           0.0077128,            0.045178,            0.002363,            0.033616,            0.005076,            0.073869,           0.0041761,             0.18205,            0.042158,             0.21246,            0.052472,          0.00043973,           0.0031083,           0.0028844,             0.62044,            0.005121,            0.045078,           0.0060508,           0.0091515,            0.002393,             0.32618,            0.012066,            0.013087,             0.11183,            0.004655,            0.063209,           0.0095127,              0.1248,           0.0083528,             0.37864,             0.11221,             0.45813,            0.069921,            0.001293,           0.0091604,           0.0051606
                   8,            0.044744,            0.012219,            0.050246,               0.561,              0.1201,            0.097777,            0.049266,            0.056813,            0.022599,              0.0514,            0.009769,            0.009769,            0.009769,             0.17677,             0.02233,           0.0073197,          0.00075221,           0.0022824,           0.0020311,            0.093251,           0.0070535,              0.0055,            0.052867,            0.034345,            0.048314,           0.0041746,             0.15206,           0.0024573,             0.07919,             0.05575,             0.27482,            0.043093,           0.0012957,            0.010445,           0.0077526,             0.41454,            0.060905,            0.016429,           0.0019703,           0.0055767,           0.0092343,              0.2274,            0.014878,            0.010081,             0.10044,            0.056294,            0.088463,           0.0080011,             0.25816,           0.0048771,             0.15452,             0.15167,             0.44023,            0.084877,            0.004264,            0.022721,             0.01555
                   9,            0.043848,            0.012251,            0.047867,             0.52461,             0.13676,            0.089857,            0.040481,            0.053729,            0.023671,            0.055868,            0.009736,            0.009736,            0.009736,             0.17801,           0.0074808,             0.03265,           0.0026503,           0.0019193,           0.0031223,            0.055376,           0.0042856,           0.0077857,            0.018454,           0.0050889,            0.034175,           0.0076438,             0.06399,           0.0028389,             0.10306,            0.051838,             0.25578,            0.050111,          0.00032078,           0.0026374,           0.0013699,             0.33638,            0.022258,            0.080528,           0.0071823,           0.0043439,            0.012029,             0.16987,            0.009638,            0.013598,            0.046143,            0.010544,            0.071691,            0.012175,              0.1832,           0.0075805,             0.19865,             0.14038,             0.56131,             0.07594,          0.00081325,           0.0094184,              0.0032
