               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_etc_mAP,metrics/trash_fabric_mAP,metrics/trash_fisching_gear_mAP,metrics/trash_metal_mAP,metrics/trash_paper_mAP,metrics/trash_plastic_mAP,metrics/trash_rubber_mAP,metrics/trash_wood_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_etc_mAP_50,metrics/trash_fabric_mAP_50,metrics/trash_fisching_gear_mAP_50,metrics/trash_metal_mAP_50,metrics/trash_paper_mAP_50,metrics/trash_plastic_mAP_50,metrics/trash_rubber_mAP_50,metrics/trash_wood_mAP_50
                   0,            0.081815,            0.021104,            0.067026,           0.0072591,             0.17449,           0.0096818,           0.0040409,            0.065369,            0.029073,            0.062807,            0.070333,           0.0032963,           0.0032963,           0.0093954,          0.00059372,          0.00073065,                   0,          0.00079823,                   0,                   0,                   0,           0.0045175,                   0,                   0,            0.016578,                   0,            0.010602,                   0,            0.021439,            0.027362,           0.0027989,           0.0012531,                   0,           0.0037414,                   0,                   0,                   0,            0.017051,                   0,                   0,            0.036354,                   0,            0.027868,                   0,             0.03848
                   1,            0.054873,            0.020273,            0.059759,              0.6045,            0.042605,            0.036679,            0.016499,            0.062154,            0.023057,             0.06038,            0.040311,           0.0066078,           0.0066078,             0.10587,           0.0046866,           0.0042961,           0.0012812,           0.0014644,          0.00015953,           0.0074113,           0.0010184,           0.0059586,            0.015515,           0.0014077,            0.037894,            0.033996,            0.029307,           0.0058031,           0.0079155,             0.21638,            0.012062,           0.0087833,           0.0030033,           0.0045441,          0.00055474,            0.017316,           0.0034346,            0.019403,            0.034594,            0.003975,            0.083734,            0.073917,            0.075068,            0.011171,            0.018922
                   2,            0.053932,            0.017619,            0.056457,             0.71852,            0.051956,            0.028016,            0.012359,            0.073268,            0.023963,            0.060758,            0.010268,           0.0098972,           0.0098972,            0.036097,          0.00056139,           0.0017874,          0.00082996,           0.0003565,          6.9449e-05,           0.0074432,          0.00095901,           0.0052873,            0.030382,          0.00094407,            0.055848,             0.01551,            0.034638,           0.0029338,           0.0041028,              0.1049,            0.001644,           0.0053144,           0.0018673,          0.00058002,          0.00014379,            0.017866,            0.003542,            0.019785,            0.049692,           0.0037268,             0.10853,            0.035576,            0.076346,            0.007056,            0.011691
                   3,            0.058064,            0.017718,            0.056394,             0.68224,            0.043186,            0.036347,            0.014656,            0.066655,            0.024587,            0.058845,            0.009901,            0.009901,            0.009901,            0.083825,          0.00071843,            0.002909,            0.002422,           0.0014677,          0.00013954,           0.0056292,           0.0040383,           0.0073332,           0.0027386,            0.001313,            0.053564,           0.0055793,            0.048029,           0.0061667,            0.008629,             0.21142,            0.002542,           0.0082489,           0.0058725,           0.0042094,          0.00043282,            0.017817,            0.009672,            0.027915,            0.006364,           0.0037949,             0.10884,            0.016916,             0.12493,            0.014917,            0.017659
                   4,            0.054328,            0.017371,             0.05417,             0.66486,            0.086732,            0.057112,            0.026484,             0.06012,            0.021855,            0.056331,            0.009901,            0.009901,            0.009901,             0.16736,           0.0019874,           0.0033678,           0.0018024,           0.0032472,          0.00028206,            0.050011,           0.0028026,            0.020347,            0.028512,           0.0028855,            0.034981,            0.022149,            0.064993,            0.010083,           0.0089251,              0.3465,           0.0058431,           0.0091137,           0.0036779,            0.005963,          0.00084778,            0.088104,           0.0061862,            0.057848,            0.059476,           0.0081617,            0.075202,            0.046155,             0.15405,            0.021229,            0.025437
                   5,            0.051858,              0.0169,            0.052262,             0.67197,            0.051145,            0.047918,            0.021931,            0.062312,            0.024407,            0.057186,            0.009868,            0.009868,            0.009868,             0.10913,          0.00091316,           0.0028098,           0.0010783,           0.0025044,          0.00017512,            0.017485,           0.0051223,            0.016192,            0.011395,           0.0011738,            0.036089,            0.026229,            0.095539,            0.019049,            0.006023,             0.24515,            0.002749,           0.0066022,           0.0031057,           0.0053818,          0.00063719,            0.041378,           0.0091755,            0.043302,            0.023501,           0.0036488,            0.069194,            0.048398,             0.19031,            0.058278,            0.015878
                   6,            0.050016,            0.016397,             0.05129,             0.74694,            0.066093,            0.063236,            0.031547,            0.058149,            0.023418,            0.055014,            0.009835,            0.009835,            0.009835,             0.17528,           0.0014334,            0.006905,           0.0024757,           0.0015821,          0.00011351,            0.050285,            0.004828,            0.021841,            0.022891,           0.0018295,            0.053493,            0.019488,            0.093678,           0.0058875,            0.042736,             0.32252,           0.0038892,            0.017452,           0.0051071,           0.0030811,          0.00022702,             0.13752,           0.0096668,            0.058943,            0.039688,           0.0044615,            0.095765,            0.043163,             0.18011,            0.016245,            0.073934
                   7,            0.049048,            0.016232,            0.050012,             0.66443,            0.079779,            0.078249,            0.035106,             0.05815,            0.023441,            0.055977,            0.009802,            0.009802,            0.009802,             0.18551,           0.0057293,            0.011625,           0.0018175,           0.0019467,          0.00043775,            0.016735,           0.0047714,            0.025133,            0.025058,           0.0018236,            0.056138,             0.02694,             0.11399,            0.058571,            0.025473,             0.37274,            0.026136,            0.029346,           0.0051568,           0.0048677,           0.0013825,            0.045923,            0.010546,            0.063856,            0.044744,           0.0039427,             0.10483,            0.055674,             0.21043,             0.21828,            0.054116
                   8,            0.047244,             0.01557,            0.048397,             0.56844,            0.093663,            0.087891,            0.043592,            0.055386,            0.022289,             0.05312,            0.009769,            0.009769,            0.009769,             0.25486,           0.0012562,           0.0084524,           0.0062381,           0.0037249,          0.00095966,            0.068231,           0.0048662,            0.030634,            0.037134,           0.0016239,            0.065686,            0.032631,            0.077112,            0.035892,            0.068166,             0.44008,           0.0044042,            0.021628,            0.015346,           0.0075317,           0.0018923,              0.1809,           0.0098191,            0.076839,            0.064763,           0.0056538,             0.11792,            0.065833,             0.17319,             0.10883,             0.11161
                   9,            0.046597,            0.015355,            0.047669,             0.63102,            0.080843,             0.08468,            0.040627,            0.057926,             0.02265,            0.054987,            0.009736,            0.009736,            0.009736,             0.23623,          0.00053951,           0.0074524,          0.00095832,           0.0043919,          0.00026631,            0.052337,           0.0060768,            0.023701,            0.057224,           0.0012368,            0.045277,             0.04922,            0.097254,            0.046822,            0.021047,             0.40567,           0.0015459,            0.019118,           0.0026019,           0.0083965,           0.0007645,             0.12536,            0.013373,            0.061247,             0.08804,           0.0031638,            0.086571,             0.10703,             0.19208,              0.2063,            0.033612
                  10,            0.045419,            0.015011,            0.046791,             0.55598,             0.10318,            0.084885,            0.044565,            0.053292,            0.022408,            0.054956,            0.009703,            0.009703,            0.009703,             0.25913,          0.00063944,            0.012952,          0.00062553,           0.0040848,          0.00027088,            0.088026,           0.0025333,            0.037917,            0.061538,           0.0024407,            0.045895,            0.028158,             0.11955,           0.0040305,            0.045252,             0.45985,           0.0017754,            0.029948,           0.0018037,           0.0087404,          0.00071256,             0.20789,           0.0053633,            0.089337,             0.12459,           0.0059304,            0.084793,             0.04664,             0.21115,            0.014047,            0.065576
                  11,            0.045432,             0.01483,             0.04552,             0.49724,             0.10479,             0.09046,            0.045179,            0.052662,            0.022221,            0.051431,             0.00967,             0.00967,             0.00967,             0.28392,           0.0028811,            0.013831,           0.0042386,           0.0015841,          0.00075529,            0.066154,           0.0022004,             0.03622,            0.039674,           0.0037974,            0.066756,            0.039549,             0.12452,           0.0040561,            0.032725,             0.51112,           0.0074516,            0.036465,            0.013773,             0.00407,           0.0022338,             0.20781,           0.0046899,            0.084739,            0.067367,           0.0094008,             0.12389,            0.074836,               0.223,            0.012811,            0.063705
