               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_etc_mAP,metrics/trash_fabric_mAP,metrics/trash_fisching_gear_mAP,metrics/trash_metal_mAP,metrics/trash_paper_mAP,metrics/trash_plastic_mAP,metrics/trash_rubber_mAP,metrics/trash_wood_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_etc_mAP_50,metrics/trash_fabric_mAP_50,metrics/trash_fisching_gear_mAP_50,metrics/trash_metal_mAP_50,metrics/trash_paper_mAP_50,metrics/trash_plastic_mAP_50,metrics/trash_rubber_mAP_50,metrics/trash_wood_mAP_50
                   0,            0.076295,            0.028395,            0.065124,             0.78915,            0.066252,            0.043347,            0.021411,            0.053549,            0.023626,             0.06182,             0.07008,           0.0033245,           0.0033245,            0.093403,            0.001418,           0.0058023,            0.002124,          0.00061604,          0.00043386,             0.01224,           0.0028922,            0.033229,            0.012027,           0.0006861,             0.03304,            0.021247,            0.053776,            0.030454,            0.039188,             0.17881,           0.0039831,            0.013375,           0.0041489,           0.0015808,           0.0012791,            0.029902,           0.0080508,            0.087246,            0.024065,           0.0025863,            0.064795,            0.041093,              0.1015,            0.065176,            0.065961
                   1,            0.050062,            0.022206,            0.056348,             0.60595,             0.10766,            0.075683,            0.040832,            0.047461,            0.020036,            0.056719,             0.03975,           0.0063282,           0.0063282,             0.24885,           0.0042287,           0.0097978,           0.0016689,            0.037742,          0.00057505,            0.036087,           0.0094516,            0.048298,             0.03704,           0.0023501,            0.049881,            0.012587,             0.13478,            0.005882,            0.014083,             0.40366,            0.011533,            0.023514,           0.0031195,             0.09695,           0.0015114,            0.076661,            0.020123,             0.12514,            0.064026,           0.0071059,             0.09085,            0.024983,             0.21627,            0.010727,            0.034751
                   2,            0.045601,            0.019374,            0.048694,             0.49358,             0.15394,             0.11054,            0.056742,            0.050054,            0.020109,            0.049398,           0.0090907,            0.009002,            0.009002,             0.25535,           0.0034917,           0.0071796,           0.0099976,            0.018732,            0.017977,             0.13164,           0.0049428,            0.052033,            0.047674,          0.00097911,            0.091563,            0.011444,             0.15017,              0.0942,            0.010493,             0.44868,           0.0079122,            0.017832,              0.0305,            0.044782,            0.066194,             0.26258,            0.010234,             0.12653,             0.10443,           0.0030371,             0.16564,            0.023533,             0.27225,             0.16168,            0.022871
                   3,             0.04168,            0.018173,            0.042074,             0.49133,             0.22238,             0.16801,            0.083537,            0.043914,            0.017671,            0.044153,            0.008515,            0.008515,            0.008515,             0.39929,           0.0084529,            0.014304,             0.04259,             0.04299,            0.010369,             0.12046,           0.0057657,            0.068782,            0.062672,           0.0042353,             0.10866,            0.015418,             0.26003,              0.1421,            0.030483,              0.6507,            0.019672,            0.035149,              0.1796,             0.14333,            0.028003,             0.31659,            0.010945,             0.16683,            0.097289,            0.011791,             0.19053,             0.03286,              0.4324,             0.31701,            0.055411
                   4,            0.039938,            0.017587,            0.036234,             0.56908,             0.24935,             0.22387,             0.11729,            0.042312,            0.018683,            0.041707,            0.008515,            0.008515,            0.008515,             0.51143,            0.077714,            0.044015,             0.10294,            0.083579,            0.014299,             0.19765,           0.0071721,            0.074089,            0.089694,            0.013838,             0.12582,            0.021979,             0.26482,             0.17172,            0.075882,             0.73101,             0.16569,            0.094659,             0.30785,             0.25153,             0.04479,              0.4054,            0.014582,             0.17597,             0.14558,            0.047121,               0.241,            0.041005,             0.45064,              0.3088,             0.15634
                   5,            0.038328,            0.016536,            0.029983,             0.59441,             0.28736,             0.29602,             0.15345,            0.041475,            0.018066,            0.037843,             0.00802,             0.00802,             0.00802,              0.4881,             0.18541,            0.064512,             0.18208,             0.12604,            0.014716,              0.2624,            0.011931,             0.11116,             0.14904,            0.028421,             0.16848,             0.02238,             0.34162,             0.21099,            0.087901,             0.70989,             0.34677,             0.13728,             0.54102,             0.33504,            0.085559,             0.55356,            0.026753,             0.24306,             0.21152,             0.10238,              0.3441,            0.044716,             0.57544,              0.3479,             0.13137
                   6,             0.03715,             0.01657,            0.025504,             0.43509,               0.365,             0.32016,             0.16828,            0.041454,            0.017715,            0.039052,            0.007525,            0.007525,            0.007525,             0.51887,             0.11449,              0.1054,             0.10743,             0.19806,            0.085403,             0.22061,            0.017048,             0.13024,             0.13704,            0.045951,              0.2207,             0.16188,             0.33041,             0.20932,            0.089619,             0.72329,             0.29862,             0.23204,             0.34184,             0.40284,             0.24811,             0.46947,            0.029303,             0.25889,             0.22041,             0.14895,             0.40472,             0.24689,             0.55199,              0.3689,             0.17628
                   7,            0.036227,            0.015912,            0.022604,             0.42374,             0.41865,             0.35837,             0.19868,            0.039801,            0.018074,            0.035038,             0.00703,             0.00703,             0.00703,             0.56125,             0.20431,             0.13085,             0.23952,             0.18462,            0.050157,             0.25947,            0.016677,             0.12314,             0.16832,            0.015878,             0.25097,             0.22988,             0.38308,              0.1866,             0.17411,             0.77818,             0.36736,             0.28151,              0.5487,             0.45652,             0.11692,             0.50846,            0.029129,             0.25833,             0.29028,            0.046305,             0.45362,             0.35777,             0.61712,             0.36048,             0.26325
                   8,            0.035139,            0.015487,            0.019777,             0.38846,             0.44857,             0.36976,             0.20303,            0.039281,            0.016893,            0.034419,            0.006535,            0.006535,            0.006535,             0.58338,              0.2387,             0.13056,             0.13798,             0.13633,            0.068988,             0.31755,            0.030937,             0.12984,             0.21905,            0.023457,             0.31232,             0.11713,             0.39398,             0.23512,              0.1732,             0.78026,             0.42054,             0.29592,             0.44169,             0.33357,             0.23792,             0.61273,            0.064642,             0.28637,             0.35534,            0.070595,             0.51169,              0.2075,             0.62727,             0.35927,             0.31083
                   9,            0.034034,             0.01502,            0.017853,             0.54701,             0.40833,             0.41266,             0.23298,            0.038053,             0.01691,            0.032117,             0.00604,             0.00604,             0.00604,             0.58042,             0.23634,             0.16617,             0.28481,             0.19876,            0.052549,             0.34672,            0.036165,               0.161,             0.26171,            0.050206,             0.33096,             0.16353,             0.41403,             0.22507,             0.21924,             0.78457,             0.40336,             0.33411,              0.7342,             0.46054,             0.14765,             0.59952,             0.08553,             0.32721,             0.42233,             0.12909,               0.552,             0.24432,             0.67472,             0.35605,             0.34732
